ID_CZASTECZKI, CORD_X, CORD_Y
Czasteczka nr. 114, 2.584038, 1.442644
Czasteczka nr. 115, 1.577296, 0.873414
Czasteczka nr. 116, 1.306588, 1.279863
Czasteczka nr. 117, 1.037025, 0.607497
Czasteczka nr. 118, 2.233269, 0.824357
Czasteczka nr. 119, 0.447819, 1.433122
Czasteczka nr. 120, 1.561317, 0.871238
Czasteczka nr. 121, 2.984526, 0.701786
Czasteczka nr. 122, 1.620867, 1.989309
Czasteczka nr. 123, 1.899276, 3.348200
Czasteczka nr. 124, 1.965005, 1.567622
Czasteczka nr. 125, 2.042886, 1.833031
Czasteczka nr. 126, 2.198297, 1.217881
Czasteczka nr. 127, 2.269075, 1.504172
Czasteczka nr. 128, 2.549238, 0.772218
Czasteczka nr. 129, 1.337588, 1.721307
Czasteczka nr. 130, 2.356430, 0.773285
Czasteczka nr. 131, 2.640048, 1.938032
Czasteczka nr. 132, 1.455136, 1.370642
Czasteczka nr. 133, 1.023315, 1.489562
Czasteczka nr. 134, 2.018629, 0.654534
Czasteczka nr. 135, 2.103035, 1.712684
Czasteczka nr. 136, 1.846449, 2.062629
Czasteczka nr. 137, 1.712017, 1.590875
Czasteczka nr. 138, 1.712123, 2.593968
Czasteczka nr. 139, 1.640338, 1.377005
Czasteczka nr. 140, 1.065302, 1.353565
Czasteczka nr. 141, 2.991248, 1.556078
Czasteczka nr. 142, 1.696998, 1.545190
Czasteczka nr. 143, 1.627816, 1.142777
Czasteczka nr. 144, 2.311402, 0.597994
Czasteczka nr. 145, 1.349026, 1.590232
Czasteczka nr. 146, 1.790756, 1.376993
Czasteczka nr. 147, 1.556078, 0.890813
Czasteczka nr. 148, 1.596633, 0.731032
Czasteczka nr. 149, 1.777724, 1.398995
Czasteczka nr. 150, 0.642348, 1.726031
Czasteczka nr. 151, 2.164536, 1.708590
Czasteczka nr. 152, 0.882377, 1.326226
Czasteczka nr. 153, 1.865332, 1.920541
Czasteczka nr. 154, 2.699594, 1.872605
Czasteczka nr. 155, 1.813116, 1.433185
Czasteczka nr. 156, 0.617348, 1.820389
Czasteczka nr. 157, 1.542292, 1.270105
Czasteczka nr. 158, 1.896649, 1.295612
Czasteczka nr. 159, 2.030407, 1.525932
Czasteczka nr. 160, 1.558129, 1.778450
Czasteczka nr. 161, 2.187334, 1.540765
Czasteczka nr. 162, 1.105981, 0.985596
Czasteczka nr. 163, 0.569093, 1.958973
Czasteczka nr. 164, 1.697807, 2.570136
Czasteczka nr. 165, 0.956581, 0.995481
Czasteczka nr. 166, 1.414648, 1.230594
Czasteczka nr. 167, 2.258629, 2.545703
Czasteczka nr. 168, 1.379335, 1.243475
Czasteczka nr. 169, 1.641875, 1.024993
Czasteczka nr. 170, 3.398532, 1.215131
Czasteczka nr. 171, 2.184503, 1.716168
Czasteczka nr. 172, 2.094295, 1.393915
Czasteczka nr. 173, 2.426431, 2.877897
Czasteczka nr. 174, 1.446151, 1.663383
Czasteczka nr. 175, 1.160992, 1.337672
Czasteczka nr. 176, 1.543814, 2.054630
Czasteczka nr. 177, 1.767676, 1.830160
Czasteczka nr. 178, 2.277985, 1.908972
Czasteczka nr. 179, 1.915961, 0.840348
Czasteczka nr. 180, 1.854968, 1.869435
Czasteczka nr. 181, 1.366021, 1.098001
Czasteczka nr. 182, 1.947130, 1.230543
Czasteczka nr. 183, 0.897417, 1.169414
Czasteczka nr. 184, 2.295288, 1.330080
Czasteczka nr. 185, 1.650464, 1.503532
Czasteczka nr. 186, 1.806524, 1.236053
Czasteczka nr. 187, 1.374203, 1.124548
Czasteczka nr. 188, 1.280797, 1.472949
Czasteczka nr. 189, 2.277431, 1.785777
Czasteczka nr. 190, 2.115473, 1.248881
Czasteczka nr. 191, 2.021808, 1.340442
Czasteczka nr. 192, 1.324351, 0.238863
Czasteczka nr. 193, 1.681406, 2.136912
Czasteczka nr. 194, 1.379047, 1.404146
Czasteczka nr. 195, 1.108315, 1.754369
Czasteczka nr. 196, 1.715710, 2.638058
Czasteczka nr. 197, 1.535224, 2.071606
Czasteczka nr. 198, 2.771814, 2.108315
Czasteczka nr. 199, 1.749982, 1.122868
Czasteczka nr. 200, 2.227977, 1.360082

STAN Z TURY: 2, , 
Czasteczka nr. 1, 1.464634, 1.404048
Czasteczka nr. 2, 1.759545, 1.420734
Czasteczka nr. 3, 2.025433, 0.510130
Czasteczka nr. 4, 1.793075, 1.045917
Czasteczka nr. 5, 1.541653, 1.058425
Czasteczka nr. 6, 0.713258, 1.460041
Czasteczka nr. 7, 1.468457, 1.440686
Czasteczka nr. 8, 1.662905, 1.490996
Czasteczka nr. 9, 2.055976, 1.393310
Czasteczka nr. 10, 0.881278, 1.193015
Czasteczka nr. 11, 1.925889, 2.011709
Czasteczka nr. 12, 1.878003, 1.226721
